Year,Trade_Flow,Partner_ISO,Partner_Country,HS_Code,Product_Description,Value_USD
2015,Export,AUT,Austria,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1123132.0
2015,Export,BHR,Bahrain,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",58224.0
2015,Export,BEL,Belgium,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",31725954.0
2015,Export,BOL,Bolivia (Plurinational State of),1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",57778.0
2015,Export,BRA,Brazil,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",21280.0
2015,Export,MMR,Myanmar,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",73808.0
2015,Export,KHM,Cambodia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",245881.0
2015,Export,CAN,Canada,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",65367519.0
2015,Export,CHL,Chile,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",869335.0
2015,Export,CHN,China,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",6050590.0
2015,Export,COL,Colombia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",89968.0
2015,Export,CRI,Costa Rica,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",33345.0
2015,Export,HRV,Croatia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",33640.0
2015,Export,CYP,Cyprus,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",379642.0
2015,Export,DNK,Denmark,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",14829871.0
2015,Export,DOM,Dominican Rep.,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",100358.0
2015,Export,SLV,El Salvador,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",38700.0
2015,Export,FIN,Finland,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",111744.0
2015,Export,FRA,France,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",33551622.0
2015,Export,GEO,Georgia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",78990.0
2015,Export,DEU,Germany,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",50679263.0
2015,Export,GHA,Ghana,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",48243.0
2015,Export,HND,Honduras,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",18700.0
2015,Export,HKG,"China, Hong Kong SAR",1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",16744864.0
2015,Export,HUN,Hungary,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",58456.0
2015,Export,IRL,Ireland,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",207729.0
2015,Export,ISR,Israel,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",3306078.0
2015,Export,ITA,Italy,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",16611472.0
2015,Export,CIV,Côte d'Ivoire,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",22654.0
2015,Export,JAM,Jamaica,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",348623.0
2015,Export,JPN,Japan,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",267645694.0
2015,Export,JOR,Jordan,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",150724.0
2015,Export,KEN,Kenya,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",48623.0
2015,Export,KOR,Rep. of Korea,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",83751757.0
2015,Export,KWT,Kuwait,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1431873.0
2015,Export,LBN,Lebanon,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2003449.0
2015,Export,LVA,Latvia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",64109.0
2015,Export,LBY,Libya,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",31875.0
2015,Export,LTU,Lithuania,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",334282.0
2015,Export,MYS,Malaysia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",5933525.0
2015,Export,MLT,Malta,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",44450.0
2015,Export,MUS,Mauritius,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",230403.0
2015,Export,MEX,Mexico,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",669132.0
2015,Export,S19,"Other Asia, nes",1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",8173451.0
2015,Export,OMN,Oman,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",216693.0
2015,Export,NLD,Netherlands,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",47879302.0
2015,Export,NCL,New Caledonia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",83911.0
2015,Export,NZL,New Zealand,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",6640527.0
