refYear,refMonth,reporterDesc,flowDesc,partnerDesc,classificationCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,netWgt,fobvalue,primaryValue
52,2015,X,24,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,737.0,True,5450.0,6
52,2015,X,32,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,108362.0,True,1306372.0,6
52,2015,X,36,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,5666695.0,True,67439938.0,6
52,2015,X,40,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,93792.0,True,1123132.0,6
52,2015,X,48,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,4950.0,True,58224.0,6
52,2015,X,56,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,2816228.0,True,31725954.0,6
52,2015,X,68,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,5006.0,True,57778.0,6
52,2015,X,76,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,2950.0,True,21280.0,6
52,2015,X,104,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,6172.0,True,73808.0,6
52,2015,X,116,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,21467.0,True,245881.0,6
52,2015,X,124,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,5589993.0,True,65367519.0,6
52,2015,X,152,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,74339.0,True,869335.0,6
52,2015,X,156,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,535213.0,True,6050590.0,6
52,2015,X,170,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,12472.0,True,89968.0,6
52,2015,X,188,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,3840.0,True,33345.0,6
52,2015,X,191,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,4663.0,True,33640.0,6
52,2015,X,196,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,31281.0,True,379642.0,6
52,2015,X,208,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,1567073.0,True,14829871.0,6
