Year,Trade_Flow,Partner,Partner_ISO,HS_Code,Commodity,Quantity_kg,Unit,Value_USD
2015,Export,Kenya,KEN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,29185.0,kg,128031.0
2015,Export,Rep. of Korea,KOR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10452492.0,kg,50153664.0
2015,Export,Kuwait,KWT,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,47225.0,kg,233609.0
2015,Export,Lao People's Dem. Rep.,LAO,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,195479.0,kg,780235.0
2015,Export,Lebanon,LBN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,640841.0,kg,3172786.0
2015,Export,Latvia,LVA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,52831.0,kg,262198.0
2015,Export,Libya,LBY,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1062639.0,kg,5273870.0
2015,Export,Lithuania,LTU,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,14613.0,kg,72522.0
2015,Export,Malaysia,MYS,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,164334.0,kg,702585.0
2015,Export,Malta,MLT,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,29238.0,kg,145110.0
2015,Export,Mauritius,MUS,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,15553.0,kg,72492.0
2015,Export,Mexico,MEX,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,348081.0,kg,1640850.0
2015,Export,"Other Asia, nes",S19,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,937874.0,kg,4644525.0
2015,Export,Morocco,MAR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,18950.0,kg,94050.0
2015,Export,Mozambique,MOZ,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,242.0,kg,1200.0
2015,Export,Oman,OMN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,715434.0,kg,3441036.0
2015,Export,Netherlands,NLD,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2197791.0,kg,10654597.0
2015,Export,New Caledonia,NCL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8115.0,kg,38393.0
2015,Export,New Zealand,NZL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,307635.0,kg,1478041.0
2015,Export,Nigeria,NGA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,42194.0,kg,204453.0
2015,Export,Norway,NOR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,449622.0,kg,2230321.0
2015,Export,Pakistan,PAK,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,14151.0,kg,68570.0
2015,Export,Papua New Guinea,PNG,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,329.0,kg,1301.0
2015,Export,Peru,PER,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,271902.0,kg,1349448.0
2015,Export,Philippines,PHL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,16554.0,kg,66445.0
2015,Export,Poland,POL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,517458.0,kg,2554957.0
2015,Export,Portugal,PRT,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,321960.0,kg,1597887.0
2015,Export,Qatar,QAT,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1661.0,kg,8050.0
2015,Export,Romania,ROU,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,152121.0,kg,736940.0
2015,Export,Russian Federation,RUS,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,19654.0,kg,95232.0
2015,Export,Saudi Arabia,SAU,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,169341.0,kg,782996.0
2015,Export,Singapore,SGP,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1906709.0,kg,7817462.0
2015,Export,Slovakia,SVK,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,26548.0,kg,105080.0
2015,Export,Slovenia,SVN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,14466.0,kg,71424.0
2015,Export,South Africa,ZAF,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,33659.0,kg,167050.0
2015,Export,Spain,ESP,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2070007.0,kg,10093677.0
2015,Export,Sudan,SDN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,261705.0,kg,1298839.0
2015,Export,Sweden,SWE,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,191992.0,kg,952854.0
2015,Export,Switzerland,CHE,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3928.0,kg,19035.0
2015,Export,Syria,SYR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,60589.0,kg,300702.0
2015,Export,Thailand,THA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7081859.0,kg,33888269.0
2015,Export,Trinidad and Tobago,TTO,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,42904.0,kg,211125.0
2015,Export,United Arab Emirates,ARE,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,232360.0,kg,952028.0
2015,Export,Tunisia,TUN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,395927.0,kg,1964981.0
2015,Export,Türkiye,TUR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,220964.0,kg,1095480.0
2015,Export,Ukraine,UKR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,12686.0,kg,62960.0
