refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,MUS,Mauritius,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",149427.0
2013,MEX,Mexico,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",455441.0
2013,S19,"Other Asia, nes",Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",10717665.0
2013,MAR,Morocco,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",145324.0
2013,OMN,Oman,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",203548.0
2013,NAM,Namibia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",6135.0
2013,NLD,Netherlands,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",21949400.0
2013,NCL,New Caledonia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",56676.0
2013,NZL,New Zealand,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4872892.0
2013,NGA,Nigeria,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",424194.0
2013,NOR,Norway,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",148046.0
2013,PHL,Philippines,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",81710.0
2013,POL,Poland,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1055596.0
2013,PRT,Portugal,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",15289634.0
2013,QAT,Qatar,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",532746.0
2013,ROU,Romania,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",570427.0
2013,RUS,Russian Federation,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1687102.0
2013,SAU,Saudi Arabia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2330760.0
2013,SGP,Singapore,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",8862473.0
2013,ZAF,South Africa,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",147877.0
