Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Export,Sudan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1298839.0
2015,Export,Sweden,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,952854.0
2015,Export,Switzerland,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,19035.0
2015,Export,Syria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,300702.0
2015,Export,Thailand,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,33888269.0
2015,Export,Trinidad and Tobago,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,211125.0
2015,Export,United Arab Emirates,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,952028.0
2015,Export,Tunisia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1964981.0
2015,Export,Türkiye,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1095480.0
2015,Export,Ukraine,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,62960.0
2015,Export,Egypt,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1626112.0
2015,Export,United Kingdom,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,4068835.0
2015,Export,USA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,98292874.0
2015,Export,Yemen,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,92188.0
2015,Export,"Areas, nes",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,3581798.0
2015,Export,Andorra,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,197912.0
2015,Export,Angola,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,5450.0
2015,Export,Argentina,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,1306372.0
